target_task,component,intervention_type,target_effect,mean_other_effect,selectivity,max_other_effect,leaks
IOI,head_10_7,necessity,0.3660076362937307,0.01200244883914423,0.3540051874545864,0.023032027411578608,0
IOI,head_11_10,necessity,0.2562538112178858,0.027871113544779554,0.22838269767310626,0.05522594487386294,1
IOI,head_8_10,necessity,0.12441610290332415,0.008619073458749467,0.11579702944457468,0.009148412702014387,0
IOI,head_10_0,necessity,0.09647429527410423,0.001359592880867911,0.09511470239323631,0.0019633280275142447,0
IOI,head_4_11,necessity,0.08128986764268306,0.009423156081948278,0.07186671156073478,0.017917207281945693,0
IOI,head_7_9,necessity,0.07388879756803655,0.005126810623041473,0.06876198694499508,0.0067456000224804325,0
IOI,head_10_6,necessity,0.061319451710903555,0.0006085929170922882,0.060710858793811266,0.001117366976667081,0
IOI,head_9_6,necessity,0.061250876431742166,0.0009647805126815395,0.060286095919060624,0.00175330607229455,0
IOI,head_0_1,necessity,0.057868481953017206,0.01583992386756626,0.042028558085450946,0.02318510817352567,0
IOI,mlp_6,necessity,0.05321439860143157,0.012503944877182052,0.040710453724249515,0.022915038933378762,0
IOI,head_9_9,necessity,0.046936379616705104,0.0005299778327537051,0.0464064017839514,0.0010457031292958714,0
IOI,mlp_2,necessity,0.045771444000311176,0.03108462699166782,0.014686817008643355,0.05906456165596809,1
IOI,mlp_7,necessity,0.04509165927263775,0.036693388368104124,0.008398270904533628,0.042445570214611095,0
IOI,head_7_3,necessity,0.04488096673058853,0.0038042366772368876,0.04107673005335164,0.007042114308689079,0
IOI,head_9_7,necessity,0.04371907436028464,0.00031335392559886106,0.043405720434685775,0.0005627901234850275,0
IOI,head_9_9,sufficiency,0.6829077912053133,0.0023479599595498035,0.6805598312457635,0.004650509196180854,0
IOI,head_10_7,sufficiency,0.5130932559229329,0.017270562069570474,0.4958226938533624,0.03393003813388038,0
IOI,head_9_6,sufficiency,0.3165905022152422,0.00369742640842928,0.3128930758068129,0.007219650653964282,0
IOI,head_11_10,sufficiency,0.2684736406690442,0.02632168328178411,0.2421519573872601,0.0519995014775536,1
IOI,head_10_0,sufficiency,0.22260877224807446,0.0014623570932647749,0.22114641515480968,0.002662642191098099,0
IOI,head_10_10,sufficiency,0.1363837326240491,0.00027803123438631107,0.1361057013896628,0.000280274107538418,0
IOI,head_10_6,sufficiency,0.10734398879883338,0.0004286572295969191,0.10691533156923645,0.0008446209834045264,0
IOI,mlp_7,sufficiency,0.10672720398369498,0.03865571945235735,0.06807148453133763,0.042323640247869554,0
IOI,head_10_1,sufficiency,0.10024459842226689,0.0001437178068668952,0.1001008806154,0.00020957089012016861,0
IOI,mlp_8,sufficiency,0.08289870544077771,0.23993512446203824,-0.15703641902126053,0.42116330899984455,1
IOI,head_8_10,sufficiency,0.08219858893606463,0.010687744080212083,0.07151084485585255,0.012756071691985326,0
IOI,mlp_1,sufficiency,0.08147659916892905,0.046327432311155596,0.03514916685777345,0.06603288572003652,1
IOI,mlp_6,sufficiency,0.07062521175787748,0.013147328224286685,0.05747788353359079,0.014885559774759324,0
IOI,mlp_5,sufficiency,0.06383923225813799,0.0342298551791232,0.029609377079014794,0.041949798011264985,0
IOI,mlp_3,sufficiency,0.05264890653441154,0.010813417588225623,0.04183548894618591,0.01618487112538937,0
SV_Agreement,mlp_8,necessity,0.414709385885635,0.04570784834764201,0.369001537537993,0.07793446699013722,1
SV_Agreement,mlp_10,necessity,0.38603156938431205,0.27832142109571956,0.10771014828859249,0.555830391153318,1
SV_Agreement,mlp_11,necessity,0.2817294917788308,0.03211228429104045,0.24961720748779032,0.04361374719684511,0
SV_Agreement,head_7_4,necessity,0.23515065693118126,0.0009864117375522554,0.234164245193629,0.001023864517031073,0
SV_Agreement,head_10_9,necessity,0.20707918059957445,0.004602195776969076,0.20247698482260537,0.007962001239712895,0
SV_Agreement,mlp_9,necessity,0.20369464045892843,0.22903854112197775,-0.025343900663049312,0.4475380195265944,1
